OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,ProductName,Category,Sub-Category,Sales,Quantity,Discount,Profit,ProfitMargin,DeliveryDays,Delayed
O00422,2023-01-12,2023-01-17,Standard Class,C0008,Customer_8,Home Office,USA,Chennai,KA,891189,West,P0038,Storage_38,Office Supplies,Storage,1257.0,5,0.0,55.32,0.0440095465393794,5,0
O00378,2023-01-12,2023-01-12,First Class,C0123,Customer_123,Consumer,USA,Bengaluru,BC,770718,East,P0006,Tables_6,Furniture,Tables,6874.7,7,0.0,1363.84,0.1983853840894875,0,0
O00143,2023-01-12,2023-01-17,Second Class,C0232,Customer_232,Consumer,Canada,Houston,BC,560514,Central,P0004,Chairs_4,Furniture,Chairs,1866.37,7,0.2,256.35,0.1373521863296131,5,1
O00715,2023-01-13,2023-01-17,Standard Class,C0130,Customer_130,Consumer,UK,San Francisco,NY,756639,East,P0090,Accessories_90,Technology,Accessories,1090.52,4,0.0,201.32,0.1846091772732274,4,0
O00498,2023-01-13,2023-01-18,Second Class,C0044,Customer_44,Home Office,USA,Delhi,GJ,526752,East,P0067,Bookcases_67,Furniture,Bookcases,170.15,2,0.1,17.38,0.1021451660299735,5,1
O00725,2023-01-14,2023-01-17,Second Class,C0119,Customer_119,Home Office,India,Mumbai,NSW,123236,East,P0117,Storage_117,Office Supplies,Storage,799.98,6,0.0,87.6,0.1095027375684392,3,0
O00532,2023-01-17,2023-01-19,Second Class,C0237,Customer_237,Consumer,India,Delhi,NSW,663178,South,P0012,Machines_12,Technology,Machines,6393.48,6,0.0,2781.66,0.4350776103155089,2,0
O00568,2023-01-17,2023-01-24,Standard Class,C0171,Customer_171,Corporate,Australia,Sydney,NY,585417,South,P0096,Machines_96,Technology,Machines,176.84,1,0.2,27.38,0.1548292241574304,7,1
O00107,2023-01-19,2023-01-24,Standard Class,C0202,Customer_202,Consumer,India,Ahmedabad,GJ,490719,West,P0075,Machines_75,Technology,Machines,2145.6,5,0.1,453.48,0.2113534675615212,5,0
O00685,2023-01-19,2023-01-24,Standard Class,C0002,Customer_2,Home Office,Australia,New York,BC,429670,East,P0087,Chairs_87,Furniture,Chairs,676.19,4,0.1,90.87,0.134385305905145,5,0
O00780,2023-01-19,2023-01-22,Second Class,C0070,Customer_70,Home Office,USA,Mumbai,TN,209575,Central,P0019,Bookcases_19,Furniture,Bookcases,2211.44,7,0.2,307.41,0.1390089715298629,3,0
O00730,2023-01-20,2023-01-23,Second Class,C0012,Customer_12,Home Office,UK,San Francisco,NY,990324,South,P0066,Chairs_66,Furniture,Chairs,721.83,1,0.3,221.24,0.3064987600958674,3,0
O00740,2023-01-20,2023-01-27,Standard Class,C0069,Customer_69,Consumer,Canada,New York,MH,316454,West,P0075,Machines_75,Technology,Machines,338.98,2,0.0,92.93,0.2741459673137058,7,1
O00020,2023-01-20,2023-01-24,Standard Class,C0187,Customer_187,Home Office,Australia,Houston,NSW,575781,East,P0036,Tables_36,Furniture,Tables,3072.3,5,0.0,366.65,0.1193405591901832,4,0
O00750,2023-01-20,2023-01-20,Same Day,C0158,Customer_158,Corporate,USA,Vancouver,BC,413837,East,P0019,Bookcases_19,Furniture,Bookcases,533.16,2,0.0,38.14,0.0715357491184635,0,0
O00526,2023-01-21,2023-01-21,Same Day,C0190,Customer_190,Consumer,India,Vancouver,NY,851883,Central,P0110,Paper_110,Office Supplies,Paper,1438.1,7,0.1,21.47,0.0149294207635074,0,0
O00154,2023-01-21,2023-01-21,First Class,C0250,Customer_250,Home Office,Australia,New York,NY,707847,South,P0057,Storage_57,Office Supplies,Storage,265.66,1,0.1,-20.88,-0.0785967025521343,0,0
O00890,2023-01-21,2023-01-26,Second Class,C0065,Customer_65,Consumer,USA,Delhi,NY,837334,West,P0002,Binders_2,Office Supplies,Binders,440.13,4,0.3,108.59,0.2467225592438597,5,1
O00928,2023-01-22,2023-01-29,Standard Class,C0125,Customer_125,Consumer,Canada,Mumbai,TX,194914,East,P0100,Binders_100,Office Supplies,Binders,204.91,6,0.2,12.47,0.0608559855546337,7,1
O00686,2023-01-23,2023-01-30,Standard Class,C0076,Customer_76,Corporate,Canada,New York,TN,687518,Central,P0079,Binders_79,Office Supplies,Binders,2009.92,2,0.1,491.51,0.2445420713262219,7,1
O00413,2023-01-25,2023-01-31,Standard Class,C0170,Customer_170,Corporate,India,Mumbai,NY,423412,East,P0117,Storage_117,Office Supplies,Storage,5254.02,6,0.0,1086.29,0.2067540664101012,6,1
O00965,2023-01-26,2023-02-01,Standard Class,C0249,Customer_249,Home Office,UK,San Francisco,KA,830026,West,P0046,Chairs_46,Furniture,Chairs,1894.08,4,0.0,226.81,0.1197467899983105,6,1
O00212,2023-01-26,2023-01-26,Same Day,C0247,Customer_247,Consumer,Australia,Vancouver,DL,658296,East,P0047,Tables_47,Furniture,Tables,2084.67,5,0.1,354.82,0.1702043968589752,0,0
O00914,2023-01-28,2023-02-01,Standard Class,C0113,Customer_113,Home Office,USA,Ahmedabad,GJ,244931,West,P0016,Accessories_16,Technology,Accessories,968.2,4,0.0,85.52,0.0883288576740342,4,0
O00540,2023-01-29,2023-01-30,Same Day,C0171,Customer_171,Corporate,Australia,Sydney,NY,585417,South,P0041,Binders_41,Office Supplies,Binders,722.26,7,0.0,94.9,0.1313931271287348,1,1
O00688,2023-01-30,2023-02-03,Standard Class,C0042,Customer_42,Consumer,Australia,Chennai,KA,320178,West,P0021,Binders_21,Office Supplies,Binders,678.42,3,0.0,162.3,0.2392323339524188,4,0
O00947,2023-02-01,2023-02-05,Standard Class,C0242,Customer_242,Home Office,USA,Vancouver,NSW,756884,South,P0063,Paper_63,Office Supplies,Paper,2455.11,5,0.1,504.39,0.20544496987915,4,0
O00024,2023-02-04,2023-02-06,Same Day,C0031,Customer_31,Corporate,Australia,New York,NY,233554,Central,P0067,Bookcases_67,Furniture,Bookcases,3706.67,4,0.1,299.83,0.0808893157470182,2,1
O00198,2023-02-05,2023-02-08,Second Class,C0068,Customer_68,Home Office,UK,Chennai,TN,752465,South,P0006,Tables_6,Furniture,Tables,5665.46,7,0.1,905.88,0.159895224747858,3,0
O00279,2023-02-05,2023-02-12,Standard Class,C0215,Customer_215,Corporate,Canada,New York,CA,976031,East,P0110,Paper_110,Office Supplies,Paper,1303.5,6,0.0,387.64,0.2973839662447257,7,1
O00747,2023-02-07,2023-02-14,Standard Class,C0175,Customer_175,Corporate,USA,Ahmedabad,TX,257729,East,P0099,Storage_99,Office Supplies,Storage,1458.16,2,0.1,376.8,0.2584078564766555,7,1
O00191,2023-02-08,2023-02-08,Same Day,C0028,Customer_28,Consumer,USA,Vancouver,BC,881452,Central,P0027,Bookcases_27,Furniture,Bookcases,582.93,3,0.1,80.97,0.1389017549276928,0,0
O00042,2023-02-08,2023-02-13,Standard Class,C0127,Customer_127,Home Office,Canada,Houston,CA,307990,West,P0081,Paper_81,Office Supplies,Paper,1908.55,7,0.0,314.0,0.1645228052710172,5,0
O00642,2023-02-08,2023-02-12,Second Class,C0069,Customer_69,Consumer,Canada,New York,MH,316454,West,P0026,Storage_26,Office Supplies,Storage,3174.65,5,0.0,285.5,0.0899311735151906,4,1
O00381,2023-02-11,2023-02-17,Standard Class,C0192,Customer_192,Home Office,India,Bengaluru,CA,672212,Central,P0072,Tables_72,Furniture,Tables,2626.75,7,0.0,410.69,0.1563491005996002,6,1
O00561,2023-02-12,2023-02-12,First Class,C0114,Customer_114,Home Office,Canada,Ahmedabad,KA,543676,East,P0051,Machines_51,Technology,Machines,5615.8,5,0.0,2066.36,0.367954699241426,0,0
O00915,2023-02-12,2023-02-16,Second Class,C0182,Customer_182,Consumer,USA,San Francisco,TN,641013,East,P0088,Accessories_88,Technology,Accessories,2413.15,7,0.1,12.3,0.0050970722914033,4,1
O00433,2023-02-12,2023-02-15,First Class,C0240,Customer_240,Consumer,USA,Bengaluru,TN,788281,West,P0113,Accessories_113,Technology,Accessories,1072.81,1,0.0,207.62,0.1935291430915073,3,1
O00148,2023-02-12,2023-02-12,First Class,C0103,Customer_103,Consumer,USA,Ahmedabad,TX,166358,East,P0091,Phones_91,Technology,Phones,151.79,1,0.1,75.4,0.4967389156070888,0,0
O00674,2023-02-13,2023-02-13,Same Day,C0011,Customer_11,Consumer,USA,New York,TN,247313,East,P0115,Chairs_115,Furniture,Chairs,597.05,1,0.2,95.87,0.1605728163470396,0,0
O00969,2023-02-13,2023-02-20,Standard Class,C0039,Customer_39,Corporate,UK,Chennai,BC,714685,West,P0115,Chairs_115,Furniture,Chairs,233.78,2,0.0,41.16,0.1760629651809393,7,1
O00799,2023-02-16,2023-02-20,Standard Class,C0118,Customer_118,Consumer,USA,Bengaluru,KA,360910,South,P0031,Bookcases_31,Furniture,Bookcases,4838.58,6,0.0,1329.19,0.2747066288043186,4,0
O00222,2023-02-18,2023-02-19,Same Day,C0129,Customer_129,Consumer,USA,Houston,KA,638884,Central,P0102,Storage_102,Office Supplies,Storage,1021.98,3,0.1,221.17,0.2164132370496487,1,1
O00825,2023-02-18,2023-02-23,Standard Class,C0087,Customer_87,Corporate,Australia,Houston,TX,725646,East,P0119,Binders_119,Office Supplies,Binders,238.74,2,0.2,39.32,0.1646979978218982,5,0
O00813,2023-02-19,2023-02-26,Standard Class,C0116,Customer_116,Home Office,USA,Sydney,GJ,481009,South,P0040,Binders_40,Office Supplies,Binders,4337.64,4,0.0,645.54,0.1488228622015658,7,1
O00226,2023-02-19,2023-02-26,Standard Class,C0040,Customer_40,Consumer,India,Bengaluru,CA,697135,South,P0051,Machines_51,Technology,Machines,552.12,6,0.0,137.55,0.2491306237774397,7,1
O00162,2023-02-20,2023-02-26,Standard Class,C0086,Customer_86,Consumer,India,San Francisco,DL,447739,East,P0043,Accessories_43,Technology,Accessories,903.21,1,0.0,324.76,0.3595620066208301,6,1
O00083,2023-02-22,2023-02-24,Second Class,C0145,Customer_145,Consumer,Australia,Ahmedabad,NY,807280,West,P0005,Bookcases_5,Furniture,Bookcases,859.2,6,0.0,100.5,0.1169692737430167,2,0
O00325,2023-02-24,2023-03-02,Standard Class,C0108,Customer_108,Corporate,Australia,Ahmedabad,MH,354726,East,P0094,Binders_94,Office Supplies,Binders,3573.36,4,0.0,347.37,0.0972110282759083,6,1
O00761,2023-02-24,2023-03-02,Standard Class,C0029,Customer_29,Corporate,India,Houston,MH,535165,South,P0025,Tables_25,Furniture,Tables,301.97,1,0.1,31.16,0.1031890585157465,6,1
O00447,2023-02-25,2023-03-04,Standard Class,C0241,Customer_241,Home Office,India,Bengaluru,BC,599137,East,P0016,Accessories_16,Technology,Accessories,376.96,4,0.0,18.66,0.0495012733446519,7,1
O00749,2023-02-26,2023-02-26,Same Day,C0101,Customer_101,Consumer,Australia,Bengaluru,DL,711213,East,P0024,Storage_24,Office Supplies,Storage,999.24,3,0.2,183.2,0.1833393378968015,0,0
O00930,2023-02-26,2023-02-27,Same Day,C0188,Customer_188,Corporate,India,Chennai,TX,129402,Central,P0030,Paper_30,Office Supplies,Paper,7154.16,6,0.0,-573.75,-0.0801980945352074,1,1
O00300,2023-02-27,2023-02-27,First Class,C0177,Customer_177,Corporate,India,New York,GJ,746117,Central,P0041,Binders_41,Office Supplies,Binders,3723.93,7,0.0,232.92,0.0625468255310921,0,0
O00964,2023-02-27,2023-03-04,Second Class,C0096,Customer_96,Consumer,Australia,New York,NY,708746,West,P0081,Paper_81,Office Supplies,Paper,282.14,2,0.0,0.0,0.0,5,1
O00027,2023-02-28,2023-03-03,First Class,C0190,Customer_190,Consumer,India,Vancouver,NY,851883,Central,P0109,Paper_109,Office Supplies,Paper,1944.06,3,0.0,168.69,0.0867720132094688,3,1
O00769,2023-03-01,2023-03-05,Standard Class,C0205,Customer_205,Corporate,India,Ahmedabad,TX,662997,Central,P0093,Chairs_93,Furniture,Chairs,220.54,4,0.2,14.19,0.0643420694658565,4,0
O00436,2023-03-01,2023-03-08,Standard Class,C0006,Customer_6,Consumer,India,Vancouver,TN,483152,East,P0088,Accessories_88,Technology,Accessories,3760.65,5,0.1,-218.55,-0.0581149535319692,7,1
O00230,2023-03-01,2023-03-04,Second Class,C0200,Customer_200,Corporate,Canada,Sydney,TN,610585,Central,P0053,Accessories_53,Technology,Accessories,1054.45,1,0.0,157.37,0.1492436815401394,3,0
O00473,2023-03-04,2023-03-05,First Class,C0017,Customer_17,Consumer,India,Bengaluru,KA,119816,Central,P0029,Binders_29,Office Supplies,Binders,692.98,1,0.0,228.18,0.3292735721088631,1,0
O00121,2023-03-06,2023-03-12,Standard Class,C0001,Customer_1,Consumer,Australia,Mumbai,NSW,604471,West,P0081,Paper_81,Office Supplies,Paper,4071.65,6,0.1,943.49,0.2317217835521226,6,1
O00497,2023-03-06,2023-03-11,Standard Class,C0176,Customer_176,Consumer,Australia,Delhi,TX,328504,West,P0085,Paper_85,Office Supplies,Paper,568.18,1,0.0,112.92,0.1987398359674751,5,0
O00967,2023-03-07,2023-03-14,Standard Class,C0176,Customer_176,Consumer,Australia,Delhi,TX,328504,West,P0075,Machines_75,Technology,Machines,114.72,4,0.0,22.02,0.1919456066945606,7,1
O00713,2023-03-07,2023-03-12,Standard Class,C0231,Customer_231,Corporate,USA,Sydney,GJ,738418,Central,P0031,Bookcases_31,Furniture,Bookcases,196.8,5,0.0,12.49,0.0634654471544715,5,0
O00931,2023-03-07,2023-03-10,Second Class,C0042,Customer_42,Consumer,Australia,Chennai,KA,320178,West,P0083,Phones_83,Technology,Phones,872.44,4,0.0,196.3,0.2250011462106276,3,0
O00390,2023-03-08,2023-03-12,Standard Class,C0223,Customer_223,Consumer,USA,Bengaluru,BC,366997,South,P0042,Accessories_42,Technology,Accessories,7433.05,7,0.1,753.33,0.1013487061166008,4,0
O00298,2023-03-08,2023-03-15,Standard Class,C0217,Customer_217,Consumer,Australia,Mumbai,GJ,517978,West,P0082,Paper_82,Office Supplies,Paper,972.62,1,0.1,258.03,0.2652937426744257,7,1
O00953,2023-03-09,2023-03-14,Standard Class,C0160,Customer_160,Corporate,UK,Mumbai,GJ,942393,South,P0034,Machines_34,Technology,Machines,684.82,2,0.0,195.89,0.2860459682836365,5,0
O00085,2023-03-10,2023-03-10,First Class,C0103,Customer_103,Consumer,USA,Ahmedabad,TX,166358,East,P0029,Binders_29,Office Supplies,Binders,3432.15,5,0.0,1027.41,0.2993488046851099,0,0
O00732,2023-03-11,2023-03-13,Same Day,C0043,Customer_43,Consumer,USA,Vancouver,TX,249521,South,P0058,Accessories_58,Technology,Accessories,2353.02,2,0.0,587.94,0.2498661294846623,2,1
O00874,2023-03-11,2023-03-16,Standard Class,C0129,Customer_129,Consumer,USA,Houston,KA,638884,Central,P0023,Bookcases_23,Furniture,Bookcases,2610.27,3,0.0,461.49,0.1767978025261754,5,0
O00285,2023-03-11,2023-03-14,Second Class,C0132,Customer_132,Consumer,India,Sydney,CA,997928,East,P0047,Tables_47,Furniture,Tables,1813.85,5,0.0,133.73,0.0737271549466604,3,0
O00991,2023-03-13,2023-03-19,Standard Class,C0103,Customer_103,Consumer,USA,Ahmedabad,TX,166358,East,P0086,Machines_86,Technology,Machines,2628.22,4,0.2,718.93,0.2735425497104504,6,1
O00393,2023-03-14,2023-03-21,Standard Class,C0184,Customer_184,Home Office,Australia,New York,NSW,151226,Central,P0101,Binders_101,Office Supplies,Binders,4788.83,6,0.1,927.37,0.1936527293723101,7,1
O00282,2023-03-14,2023-03-14,First Class,C0084,Customer_84,Consumer,Australia,Delhi,CA,139986,West,P0051,Machines_51,Technology,Machines,1455.6,3,0.1,-25.35,-0.0174154987633965,0,0
O00826,2023-03-15,2023-03-21,Standard Class,C0126,Customer_126,Consumer,UK,Mumbai,TX,989302,East,P0005,Bookcases_5,Furniture,Bookcases,3845.73,7,0.0,889.37,0.2312616850376911,6,1
O00805,2023-03-16,2023-03-16,First Class,C0111,Customer_111,Consumer,Australia,Ahmedabad,TX,808754,East,P0060,Binders_60,Office Supplies,Binders,1983.38,2,0.1,273.56,0.1379261664431425,0,0
O00775,2023-03-17,2023-03-22,Second Class,C0055,Customer_55,Corporate,Canada,Houston,NY,951587,South,P0054,Bookcases_54,Furniture,Bookcases,6885.13,7,0.0,2003.01,0.2909182542668039,5,1
O00122,2023-03-17,2023-03-20,Second Class,C0044,Customer_44,Home Office,USA,Delhi,GJ,526752,East,P0066,Chairs_66,Furniture,Chairs,1125.79,1,0.0,43.23,0.0383997015429165,3,0
O00255,2023-03-18,2023-03-19,Same Day,C0073,Customer_73,Consumer,USA,Ahmedabad,NSW,605815,Central,P0107,Machines_107,Technology,Machines,2383.2,2,0.0,253.8,0.1064954682779456,1,1
O00803,2023-03-19,2023-03-23,Second Class,C0180,Customer_180,Consumer,UK,Bengaluru,KA,360910,South,P0116,Binders_116,Office Supplies,Binders,43.0,4,0.0,12.46,0.2897674418604651,4,1
O00958,2023-03-20,2023-03-26,Standard Class,C0168,Customer_168,Consumer,Australia,Sydney,NSW,418277,Central,P0018,Accessories_18,Technology,Accessories,6678.44,7,0.1,1315.78,0.197019064332389,6,1
O00549,2023-03-20,2023-03-21,First Class,C0108,Customer_108,Corporate,Australia,Ahmedabad,MH,354726,East,P0018,Accessories_18,Technology,Accessories,1893.73,2,0.1,167.01,0.088191030400321,1,0
O00419,2023-03-20,2023-03-25,Standard Class,C0099,Customer_99,Consumer,India,Delhi,MH,599876,West,P0043,Accessories_43,Technology,Accessories,634.4,4,0.0,57.35,0.0904003783102143,5,0
O00458,2023-03-21,2023-03-25,Standard Class,C0151,Customer_151,Home Office,USA,New York,NSW,595553,West,P0058,Accessories_58,Technology,Accessories,1299.0,5,0.0,268.7,0.2068514241724403,4,0
O00891,2023-03-23,2023-03-23,Same Day,C0047,Customer_47,Consumer,USA,Mumbai,NY,803662,East,P0025,Tables_25,Furniture,Tables,3168.45,5,0.1,460.64,0.1453833893544162,0,0
O00450,2023-03-24,2023-03-28,Standard Class,C0248,Customer_248,Home Office,Australia,Mumbai,MH,216739,Central,P0039,Paper_39,Office Supplies,Paper,2918.41,4,0.1,346.62,0.1187701522404323,4,0
O00199,2023-03-25,2023-03-27,Second Class,C0214,Customer_214,Consumer,India,Vancouver,NY,880298,Central,P0046,Chairs_46,Furniture,Chairs,120.64,2,0.1,22.33,0.1850961538461538,2,0
O00346,2023-03-25,2023-03-31,Standard Class,C0247,Customer_247,Consumer,Australia,Vancouver,DL,658296,East,P0059,Paper_59,Office Supplies,Paper,788.52,1,0.0,156.63,0.1986379546492162,6,1
O00135,2023-03-26,2023-03-31,Standard Class,C0185,Customer_185,Consumer,Canada,Houston,GJ,599512,South,P0091,Phones_91,Technology,Phones,525.04,2,0.1,95.17,0.1812623800091422,5,0
O00064,2023-03-27,2023-03-31,Standard Class,C0174,Customer_174,Consumer,Canada,Houston,TN,655941,South,P0078,Accessories_78,Technology,Accessories,507.15,7,0.0,25.89,0.0510499852114759,4,0
O00937,2023-03-27,2023-03-27,First Class,C0118,Customer_118,Consumer,USA,Bengaluru,KA,360910,South,P0104,Machines_104,Technology,Machines,1257.1,5,0.0,-151.45,-0.1204756980351602,0,0
O00555,2023-03-28,2023-04-02,Second Class,C0208,Customer_208,Corporate,UK,Delhi,NSW,121172,East,P0018,Accessories_18,Technology,Accessories,4282.74,5,0.1,436.2,0.1018506843749562,5,1
O00560,2023-03-28,2023-04-02,Standard Class,C0146,Customer_146,Consumer,Australia,Delhi,NY,783889,East,P0092,Storage_92,Office Supplies,Storage,3883.64,4,0.1,1171.13,0.3015547270086826,5,0
O00673,2023-03-29,2023-04-05,Standard Class,C0203,Customer_203,Consumer,UK,New York,TX,579361,Central,P0023,Bookcases_23,Furniture,Bookcases,2597.91,3,0.0,299.92,0.1154466474974113,7,1
O00094,2023-03-30,2023-04-03,Second Class,C0171,Customer_171,Corporate,Australia,Sydney,NY,585417,South,P0089,Bookcases_89,Furniture,Bookcases,140.6,2,0.1,6.12,0.0435277382645803,4,1
O00183,2023-03-31,2023-04-05,Standard Class,C0083,Customer_83,Consumer,India,Houston,GJ,434402,West,P0012,Machines_12,Technology,Machines,4558.18,7,0.1,841.16,0.1845385658310992,5,0
O00425,2023-04-02,2023-04-02,Same Day,C0017,Customer_17,Consumer,India,Bengaluru,KA,119816,Central,P0033,Binders_33,Office Supplies,Binders,2436.21,7,0.0,424.97,0.1744389851449587,0,0
O00481,2023-04-02,2023-04-06,Standard Class,C0119,Customer_119,Home Office,India,Mumbai,NSW,123236,East,P0035,Chairs_35,Furniture,Chairs,4723.52,4,0.0,1244.89,0.2635513345979269,4,0
O00406,2023-04-05,2023-04-09,Second Class,C0111,Customer_111,Consumer,Australia,Ahmedabad,TX,808754,East,P0107,Machines_107,Technology,Machines,1740.73,4,0.3,338.56,0.1944931149575178,4,1
O00970,2023-04-07,2023-04-09,Second Class,C0060,Customer_60,Consumer,UK,Sydney,NSW,410914,East,P0098,Chairs_98,Furniture,Chairs,1262.52,4,0.0,250.07,0.1980721097487564,2,0
O00541,2023-04-07,2023-04-09,First Class,C0159,Customer_159,Consumer,USA,New York,MH,216739,South,P0036,Tables_36,Furniture,Tables,2769.52,4,0.0,373.21,0.1347562032409948,2,1
O00932,2023-04-08,2023-04-09,Same Day,C0040,Customer_40,Consumer,India,Bengaluru,CA,697135,South,P0049,Paper_49,Office Supplies,Paper,2188.22,3,0.1,378.7,0.1730630375373591,1,1
O00451,2023-04-09,2023-04-11,First Class,C0163,Customer_163,Corporate,USA,Sydney,TN,307980,South,P0028,Phones_28,Technology,Phones,601.7,1,0.0,212.25,0.3527505401362805,2,1
O00556,2023-04-11,2023-04-11,Same Day,C0227,Customer_227,Home Office,UK,Sydney,KA,683417,South,P0059,Paper_59,Office Supplies,Paper,2623.58,4,0.2,818.5,0.3119782892078763,0,0
O00734,2023-04-11,2023-04-18,Standard Class,C0063,Customer_63,Home Office,USA,Houston,NY,962061,East,P0041,Binders_41,Office Supplies,Binders,5358.06,6,0.0,752.78,0.1404948806097729,7,1
O00375,2023-04-11,2023-04-12,First Class,C0167,Customer_167,Consumer,UK,Chennai,GJ,444138,Central,P0087,Chairs_87,Furniture,Chairs,7682.57,7,0.0,2075.83,0.2701999461117829,1,0
O00464,2023-04-11,2023-04-15,Standard Class,C0218,Customer_218,Corporate,Canada,Sydney,GJ,111046,West,P0069,Tables_69,Furniture,Tables,2927.25,5,0.0,-8.55,-0.0029208301306687,4,0
O00131,2023-04-12,2023-04-15,Second Class,C0225,Customer_225,Consumer,USA,Houston,NY,582615,West,P0003,Chairs_3,Furniture,Chairs,630.66,1,0.3,87.17,0.1382202771699489,3,0
O00103,2023-04-12,2023-04-14,First Class,C0116,Customer_116,Home Office,USA,Sydney,GJ,481009,South,P0039,Paper_39,Office Supplies,Paper,4950.7,5,0.0,358.01,0.072315026157917,2,1
O00274,2023-04-12,2023-04-17,Standard Class,C0181,Customer_181,Consumer,Canada,Vancouver,KA,140809,West,P0030,Paper_30,Office Supplies,Paper,3437.3,5,0.0,-17.04,-0.0049573793384342,5,0
O00995,2023-04-14,2023-04-21,Standard Class,C0110,Customer_110,Consumer,USA,Bengaluru,NY,626486,East,P0109,Paper_109,Office Supplies,Paper,4474.68,5,0.2,797.17,0.1781512867959273,7,1
O00337,2023-04-14,2023-04-18,Standard Class,C0192,Customer_192,Home Office,India,Bengaluru,CA,672212,Central,P0027,Bookcases_27,Furniture,Bookcases,4293.31,7,0.0,1494.12,0.3480112081354479,4,0
O00704,2023-04-14,2023-04-14,Same Day,C0235,Customer_235,Consumer,USA,Bengaluru,BC,779418,East,P0048,Chairs_48,Furniture,Chairs,1848.05,2,0.2,526.27,0.2847704337003869,0,0
O00530,2023-04-15,2023-04-18,Second Class,C0028,Customer_28,Consumer,USA,Vancouver,BC,881452,Central,P0089,Bookcases_89,Furniture,Bookcases,977.44,5,0.3,51.64,0.0528318873792764,3,0
O00176,2023-04-16,2023-04-18,Same Day,C0088,Customer_88,Corporate,Australia,Mumbai,DL,572327,South,P0009,Paper_9,Office Supplies,Paper,3976.95,5,0.0,622.2,0.1564515520687964,2,1
O00003,2023-04-17,2023-04-21,Second Class,C0246,Customer_246,Home Office,Australia,San Francisco,DL,941344,East,P0076,Binders_76,Office Supplies,Binders,1348.59,3,0.0,408.94,0.3032352308707613,4,1
O00689,2023-04-18,2023-04-21,Second Class,C0210,Customer_210,Consumer,Australia,Sydney,NY,677564,South,P0057,Storage_57,Office Supplies,Storage,591.76,2,0.2,59.5,0.1005475192645667,3,0
